PROJECTASSIGNMENT_ID,PROJECTASSIGNMENT_NAME,PROJECTASSIGNMENT_EMPLOYEE,PROJECTASSIGNMENT_PROJECT,PROJECTASSIGNMENT_POSITION,PROJECTASSIGNMENT_HOURLYRATE,PROJECTASSIGNMENT_STARTDATE,PROJECTASSIGNMENT_ENDDATE
1,A0000000001,3,1,6,30,2018-01-01,2018-02-15
2,A0000000002,7,1,2,60,2018-01-01,2018-02-15
3,A0000000003,12,1,4,40,2018-02-01,2018-03-17
4,A0000000004,5,1,1,50,2018-02-01,2018-03-01
5,A0000000005,8,1,3,70,2018-03-01,2018-04-15
6,A0000000006,11,1,5,20,2018-03-01,2018-07-01
7,A0000000007,3,2,6,30,2018-02-01,2018-05-01
8,A0000000008,7,2,2,60,2018-03-01,2018-06-01
9,A0000000009,12,2,4,40,2018-04-01,2018-07-01
10,A0000000010,5,2,1,50,2018-05-01,2018-08-01
11,A0000000011,8,2,3,70,2018-06-01,
12,A0000000012,11,2,5,20,2018-07-01,
13,A0000000013,24,3,4,50,2018-03-01,
14,A0000000014,42,3,2,70,2018-06-01,2019-06-01
15,A0000000015,18,3,5,30,2019-01-01,
16,A0000000016,63,3,6,60,2019-04-01,2020-04-01
17,A0000000017,7,3,1,40,2020-01-01,
18,A0000000018,31,3,3,80,2020-03-01,2021-03-01
19,A0000000019,50,3,7,20,2021-06-01,
20,A0000000020,12,3,4,50,2022-01-01,
21,A0000000021,56,3,2,70,2022-04-01,2023-04-01
22,A0000000022,22,3,5,30,2023-07-01,
23,A0000000023,15,4,3,54,2019-04-01,2021-04-01
24,A0000000024,37,4,7,78,2020-12-01,
25,A0000000025,48,4,2,22,2018-08-01,2020-08-01
26,A0000000026,19,4,5,36,2018-09-01,
27,A0000000027,60,4,3,60,2019-06-01,
28,A0000000028,5,4,6,52,2019-11-01,2021-11-01
29,A0000000029,42,4,4,50,2020-03-01,
30,A0000000030,10,4,1,20,2021-02-01,
31,A0000000031,33,4,2,24,2021-07-01,
32,A0000000032,67,4,7,78,2018-05-01,
33,A0000000033,24,4,1,10,2018-06-01,
34,A0000000034,58,4,5,42,2018-10-01,2020-10-01
35,A0000000035,12,4,6,52,2019-02-01,
36,A0000000036,49,4,4,46,2022-01-01,
37,A0000000037,3,4,5,42,2019-07-01,2021-07-01
38,A0000000038,3,5,6,30,2018-05-01,2018-06-01
39,A0000000039,7,5,2,60,2018-06-01,2018-07-01
40,A0000000040,12,5,4,40,2018-07-01,2018-08-01
41,A0000000041,5,5,1,50,2018-08-01,2018-09-01
42,A0000000042,8,5,3,70,2018-09-01,2018-10-01
43,A0000000043,11,5,5,20,2018-10-01,2018-11-01
44,A0000000044,3,6,5,30,2018-06-01,2019-06-01
45,A0000000045,7,6,2,60,2018-07-01,
46,A0000000046,12,6,4,40,2018-08-01,
47,A0000000047,5,6,1,50,2018-09-01,
48,A0000000048,8,6,3,70,2018-10-01,2019-10-01
49,A0000000049,11,6,5,20,2018-11-01,
50,A0000000050,6,6,7,80,2018-12-01,2019-12-01
51,A0000000051,2,6,1,30,2019-01-01,
52,A0000000052,9,6,4,50,2019-02-01,2020-02-01
53,A0000000053,4,6,6,70,2019-03-01,
54,A0000000054,10,6,2,60,2019-04-01,
55,A0000000055,1,6,5,20,2019-05-01,2020-05-01
56,A0000000056,13,6,3,70,2019-06-01,
57,A0000000057,16,6,1,30,2019-07-01,
58,A0000000058,15,6,7,80,2019-08-01,
59,A0000000059,14,6,4,50,2019-09-01,
60,A0000000060,18,6,2,60,2019-10-01,2020-10-01
61,A0000000061,21,6,5,20,2019-11-01,
62,A0000000062,20,6,3,70,2019-12-01,
63,A0000000063,17,6,6,70,2020-01-01,
64,A0000000064,19,6,1,30,2020-02-01,2021-02-01
65,A0000000065,12,7,3,40,2018-07-01,2019-01-01
66,A0000000066,28,7,6,70,2018-08-01,2019-01-01
67,A0000000067,45,7,2,60,2018-09-01,2019-01-01
68,A0000000068,3,8,6,30,2018-08-01,
69,A0000000069,7,8,2,60,2018-09-01,2020-09-01
70,A0000000070,12,8,4,40,2018-10-01,
71,A0000000071,5,8,1,50,2018-11-01,2020-11-01
72,A0000000072,8,8,3,70,2018-12-01,
73,A0000000073,11,8,5,20,2019-01-01,
74,A0000000074,9,8,7,80,2019-02-01,2021-02-01
75,A0000000075,2,8,1,30,2019-03-01,
76,A0000000076,6,8,4,50,2019-04-01,2021-04-01
77,A0000000077,4,8,6,70,2019-05-01,
78,A0000000078,5,9,3,30,2018-09-01,
79,A0000000079,18,9,2,60,2018-10-01,2020-10-01
80,A0000000080,32,9,4,40,2018-11-01,2021-11-01
81,A0000000081,46,9,1,50,2018-12-01,
82,A0000000082,59,9,3,70,2019-01-01,2021-01-01
83,A0000000083,12,9,5,20,2019-02-01,
84,A0000000084,26,9,6,30,2019-03-01,
85,A0000000085,40,9,2,60,2019-04-01,
86,A0000000086,53,9,4,40,2019-05-01,
87,A0000000087,67,9,1,50,2019-06-01,
88,A0000000088,72,9,3,70,2019-07-01,
89,A0000000089,15,10,6,32,2019-04-01,
90,A0000000090,42,10,3,50,2021-09-01,2023-09-01
91,A0000000091,67,10,2,74,2020-06-01,2022-06-01
92,A0000000092,3,10,5,40,2019-02-01,
93,A0000000093,28,10,4,54,2018-12-01,
94,A0000000094,51,10,7,14,2022-11-01,
95,A0000000095,19,10,1,68,2023-02-01,
96,A0000000096,36,10,3,26,2021-12-01,
97,A0000000097,6,10,7,48,2023-05-01,
98,A0000000098,62,10,2,62,2019-10-01,
99,A0000000099,11,10,5,36,2022-01-01,
100,A0000000100,53,10,1,70,2022-03-01,
101,A0000000101,15,11,6,30,2018-11-01,2019-05-01
102,A0000000102,32,11,3,60,2018-12-01,2019-05-01
103,A0000000103,48,11,5,40,2019-01-01,2019-05-01
104,A0000000104,32,12,6,30,2019-01-01,2020-01-01
105,A0000000105,18,12,3,60,2019-02-01,2019-05-01
106,A0000000106,47,12,5,40,2019-03-01,
107,A0000000107,9,12,2,50,2019-04-01,2019-07-01
108,A0000000108,56,12,4,70,2019-05-01,
109,A0000000109,23,12,1,20,2019-06-01,2019-09-01
110,A0000000110,41,12,7,30,2019-07-01,
111,A0000000111,28,13,6,34,2019-01-01,2020-01-01
112,A0000000112,42,13,4,50,2019-02-01,
113,A0000000113,18,13,7,76,2019-03-01,
114,A0000000114,64,13,2,18,2019-04-01,
115,A0000000115,5,13,1,70,2019-05-01,
116,A0000000116,36,13,5,26,2019-06-01,
117,A0000000117,11,13,3,54,2019-07-01,
118,A0000000118,51,13,5,46,2019-08-01,
119,A0000000119,25,13,6,62,2019-09-01,
120,A0000000120,57,13,7,34,2019-10-01,
121,A0000000121,3,14,6,30,2019-02-01,
122,A0000000122,7,14,2,60,2019-03-01,
123,A0000000123,12,14,4,40,2019-04-01,
124,A0000000124,5,14,1,50,2019-05-01,2020-05-01
125,A0000000125,10,15,4,40,2019-03-01,2019-09-01
126,A0000000126,24,15,7,20,2019-04-01,2019-09-01
127,A0000000127,3,15,2,60,2019-05-01,2019-09-01
128,A0000000128,16,15,6,30,2019-06-01,2019-09-01
129,A0000000129,7,15,3,70,2019-07-01,2019-09-01
130,A0000000130,21,15,1,50,2019-08-01,2019-09-01
131,A0000000131,6,15,5,40,2019-09-01,2019-09-01
132,A0000000132,15,15,2,60,2019-10-01,2019-09-01
133,A0000000133,2,15,7,20,2019-11-01,2019-09-01
134,A0000000134,12,15,4,40,2019-12-01,2019-09-01
135,A0000000135,8,15,6,30,2020-01-01,2019-09-01
136,A0000000136,20,15,3,70,2020-02-01,2019-09-01
